random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
5465,y,14.5305,m,8.482365,v,1,1.74924,,0,0,0,77,1,cmp_shelves_043_toys_002,S4_shelves_043_toys_002.jpg,0,blank.png,blank.png,car138.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.840955,,0,1,1,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.85789,,0,2,2,95,1,cmp_mountain_013_bird_001,S4_mountain_013_bird_001.jpg,0,blank.png,blank.png,bird152.png,bird403.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,2.289615,,0,3,3,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.367415,,0,4,4,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.59105,,0,5,5,89,1,cmp_building_015_person_008,S4_building_015_person_008.jpg,0,blank.png,blank.png,person100.png,person108.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.341945,,0,6,6,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.38858,,0,7,7,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.781875,,0,8,8,63,1,cmp_building_041_dog_009,S4_building_041_dog_009.jpg,1,dog583.png,dog583.png,dog301.png,dog446.png,dog447.png,dog461.png,dog475.png,dog541.png,dog562.png,blank.png,0,4,8,8,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.72073,,0,9,9,32,1,cmp_shelves_032_book_005,S4_shelves_032_book_005.jpg,1,book466.png,book466.png,book22.png,book23.png,book513.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
