random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
5557,y,2.67674,w,4.97752,v,1,2.13813,,0,0,0,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,2.631415,,0,1,1,63,1,cmp_building_041_dog_009,S4_building_041_dog_009.jpg,1,dog583.png,dog583.png,dog301.png,dog446.png,dog447.png,dog461.png,dog475.png,dog541.png,dog562.png,blank.png,0,4,8,8,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.55771,,0,2,2,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.65851,,0,3,3,45,1,cmp_africansavanna_001_wildanimals_001,S4_africansavanna_001_wildanimals_001.jpg,1,bear384.png,bear384.png,elephant316.png,giraffe5.png,zebra221.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.371505,,0,4,4,56,1,cmp_shelves_027_vase_003,S4_shelves_027_vase_003.jpg,1,vase549.png,vase549.png,vase127.png,vase136.png,vase162.png,vase330.png,vase602.png,vase640.png,vase654.png,blank.png,1,4,8,8,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.975015,,0,5,5,35,1,cmp_building_021_cat_008,S4_building_021_cat_008.jpg,1,cat1953.png,cat1953.png,cat1966.png,cat1835.png,cat1921.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,2.242595,,0,6,6,87,1,cmp_mountain_026_horse_001,S4_mountain_026_horse_001.jpg,1,horse815.png,horse815.png,horse1010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.709515,,0,7,7,80,1,cmp_shelves_029_book_002,S4_shelves_029_book_002.jpg,1,book874.png,book874.png,book1249.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,2.311275,,0,8,8,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,3.59365,,0,9,9,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,99061,55,2020-09-03_20h00.37.870,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
