trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
1,same,4,0.14,0.14,magenta,1,0.27,-0.14,blue,1,-0.27,-0.14,black,1,-0.27,0.27,green,1,0.41,0.41,red,0,0.27,-0.27,white,0,-0.14,-0.14,yellow,0,-0.27,0.41,orange,0,0.05,0.05,0.15,0.14,0.14,magenta,k,1.0,1.0,1.0,0.0,'k',0.8670455813407898,0.8670455813407898,0.0,19.0
2,same,4,0.27,0.41,magenta,1,0.41,-0.14,red,1,-0.27,-0.14,orange,1,-0.27,0.14,blue,1,0.14,0.14,white,0,0.14,-0.14,green,0,-0.14,-0.14,black,0,-0.14,0.41,yellow,0,0.05,0.05,0.15,-0.27,-0.14,orange,k,1.0,0.0,0.0,0.0,'l',2.1504602432250977,2.1504602432250977,0.0,40.0
3,same,4,0.27,0.14,green,1,0.27,-0.27,orange,1,-0.27,-0.41,yellow,1,-0.41,0.41,magenta,1,0.14,0.41,black,0,0.14,-0.41,red,0,-0.27,-0.14,white,0,-0.14,0.14,blue,0,0.05,0.05,0.15,-0.27,-0.41,yellow,k,1.0,0.0,0.0,0.0,'l',0.9843688607215881,0.9843688607215881,0.0,29.0
4,same,4,0.41,0.27,magenta,1,0.27,-0.41,orange,1,-0.41,-0.41,red,1,-0.14,0.41,green,1,0.27,0.41,blue,0,0.14,-0.41,black,0,-0.27,-0.14,white,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,0.27,-0.41,orange,k,1.0,1.0,1.0,0.0,'k',1.133304476737976,1.133304476737976,0.0,59.0
5,same,4,0.27,0.27,blue,1,0.14,-0.14,orange,1,-0.27,-0.27,black,1,-0.27,0.41,magenta,1,0.27,0.41,green,0,0.14,-0.41,white,0,-0.27,-0.41,yellow,0,-0.27,0.14,red,0,0.05,0.05,0.15,0.14,-0.14,orange,k,1.0,0.0,0.0,0.0,'l',1.3162522315979004,1.3162522315979004,0.0,67.0
6,same,4,0.41,0.27,orange,1,0.41,-0.14,magenta,1,-0.14,-0.27,black,1,-0.27,0.41,white,1,0.14,0.41,red,0,0.14,-0.41,blue,0,-0.14,-0.14,green,0,-0.41,0.41,yellow,0,0.05,0.05,0.15,-0.14,-0.27,black,k,1.0,1.0,1.0,0.0,'k',1.0336469411849976,1.0336469411849976,0.0,77.0
7,same,4,0.41,0.41,yellow,1,0.41,-0.41,blue,1,-0.14,-0.41,black,1,-0.14,0.14,magenta,1,0.27,0.41,red,0,0.41,-0.27,green,0,-0.41,-0.14,white,0,-0.14,0.27,orange,0,0.05,0.05,0.15,-0.14,0.14,magenta,k,1.0,1.0,1.0,0.0,'k',1.0338150262832642,1.0338150262832642,0.0,115.0
8,same,4,0.27,0.41,orange,1,0.41,-0.14,white,1,-0.14,-0.41,green,1,-0.14,0.41,black,1,0.41,0.41,blue,0,0.27,-0.41,yellow,0,-0.41,-0.27,red,0,-0.41,0.41,magenta,0,0.05,0.05,0.15,-0.14,-0.41,green,k,1.0,0.0,0.0,0.0,'l',1.1681393384933472,1.1681393384933472,0.0,34.0
9,same,4,0.27,0.27,red,1,0.14,-0.27,orange,1,-0.14,-0.41,yellow,1,-0.27,0.41,blue,1,0.41,0.41,green,0,0.41,-0.41,white,0,-0.27,-0.41,magenta,0,-0.27,0.27,black,0,0.05,0.05,0.15,0.27,0.27,red,k,1.0,1.0,1.0,0.0,'k',1.316084623336792,1.316084623336792,0.0,1.0
10,same,4,0.14,0.41,magenta,1,0.41,-0.14,black,1,-0.27,-0.27,orange,1,-0.41,0.27,green,1,0.27,0.41,blue,0,0.41,-0.41,yellow,0,-0.41,-0.41,white,0,-0.27,0.27,red,0,0.05,0.05,0.15,0.41,-0.14,black,k,1.0,1.0,1.0,0.0,'k',0.7503600120544434,0.7503600120544434,0.0,106.0
