random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_2.rt,key_resp_end.keys,key_resp_end.rt
6851,y,19.093,w,12.134,m,1,6.704,,0,0,0,1,1,cmp_building_028_person_014,S1_building_028_person_014.jpg,1,person1293.png,person1293.png,person1501.png,person1447.png,person1485.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,7.157,space,0,1,1,64,1,cmp_stadium_001_person_001,S4_stadium_001_person_001.jpg,1,stadium_001_person_010.png,stadium_001_person_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.907,,
,,,,,,0,,,0,2,2,42,1,cmp_building_045_dog_013,S4_building_045_dog_013.jpg,0,blank.png,blank.png,dog1760.png,dog1810.png,dog1887.png,dog1907.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,5.53,space,0,3,3,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.833,,
,,,,,v,1,4.312,,0,4,4,78,1,cmp_building_011_cat_003,S4_building_011_cat_003.jpg,0,blank.png,blank.png,cat167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,1.986,space,0,5,5,66,1,cmp_shelves_052_toys_011,S4_shelves_052_toys_011.jpg,1,bus112.png,bus112.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.768,,
,,,,,v,1,3.426,,0,6,6,72,1,cmp_building_006_person_003,S4_building_006_person_003.jpg,0,blank.png,blank.png,person311.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.018,space,0,7,7,86,1,cmp_shelves_051_toys_010,S4_shelves_051_toys_010.jpg,1,truck262.png,truck262.png,truck167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.385,,
,,,,,v,0,2.992,,0,8,8,26,1,cmp_mountain_011_bear_003,S2_mountain_011_bear_003.jpg,1,bear46.png,bear46.png,bear145.png,bear70.png,bear215.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.483,,0,9,9,74,1,cmp_shelves_033_book_006,S4_shelves_033_book_006.jpg,0,blank.png,blank.png,book119.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,3.474,space,0,10,10,96,1,cmp_building_005_person_002,S8_building_005_person_002.jpg,1,person546.png,person546.png,person248.png,person303.png,person367.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.413,,
,,,,,p,0,3.783,space,0,11,11,99,1,cmp_mountain_025_cow_005,S8_mountain_025_cow_005.jpg,1,cow396.png,cow396.png,cow241.png,cow340.png,cow343.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.08,,
,,,,,p,0,4.356,space,0,12,12,38,1,cmp_building_047_bird_003,S4_building_047_bird_003.jpg,0,bird370.png,blank.png,bird417.png,bird489.png,bird389.png,bird358.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.451,,
,,,,,v,1,4.547,,0,13,13,51,1,cmp_shelves_023_teddybear_004,S4_shelves_023_teddybear_004.jpg,0,blank.png,blank.png,teddy bear487.png,teddy bear517.png,teddy bear521.png,teddy bear555.png,teddy bear637.png,teddy bear762.png,teddy bear725.png,teddy bear755.png,1,4,8,8,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.039,space,0,14,14,27,1,cmp_shelves_008_fruitvegetal_001,S2_shelves_008_fruitvegetal_001.jpg,1,carrot46.png,carrot46.png,broccoli85.png,apple473.png,orange138.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.833,,
,,,,,v,0,4.443,,0,15,15,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.862,space,0,16,16,45,1,cmp_africansavanna_001_wildanimals_001,S4_africansavanna_001_wildanimals_001.jpg,1,bear384.png,bear384.png,elephant316.png,giraffe5.png,zebra221.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.758,,
,,,,,v,0,4.661,,0,17,17,59,1,cmp_field_004_farmanimals_004,S4_field_004_farmanimals_004.jpg,1,horse205.png,horse205.png,horse7.png,sheep103.png,sheep106.png,cow69.png,cow232.png,cow15.png,sheep3.png,blank.png,1,4,8,8,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.049,space,0,18,18,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.288,,
,,,,,p,0,3.422,space,0,19,19,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.862,,
,,,,,p,0,2.338,space,0,20,20,85,1,cmp_building_030_person_016,S4_building_030_person_016.jpg,1,person1923.png,person1923.png,person1925.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.873,,
,,,,,v,1,3.197,,0,21,21,10,1,cmp_building_020_cat_007,S1_building_020_cat_007.jpg,0,blank.png,blank.png,cat1553.png,cat1557.png,cat1569.png,cat1630.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,1.894,space,0,22,22,80,1,cmp_shelves_029_book_002,S4_shelves_029_book_002.jpg,1,book874.png,book874.png,book1249.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.648,,
,,,,,v,1,3.512,,0,23,23,9,1,cmp_building_026_person_012,S1_building_026_person_012.jpg,0,blank.png,blank.png,person150.png,person390.png,person137.png,person140.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.26,space,0,24,24,3,1,cmp_building_044_dog_012,S1_building_044_dog_012.jpg,1,dog1544.png,dog1544.png,dog1543.png,dog1592.png,dog1560.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.096,,
,,,,,p,0,2.703,space,0,25,25,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.841,,
,,,,,v,1,2.695,,0,26,26,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,3.033,,0,27,27,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.485,space,0,28,28,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.828,,
,,,,,v,0,5.52,,0,29,29,57,1,cmp_shelves_018_remote_002,S4_shelves_018_remote_002.jpg,1,remote63.png,remote63.png,remote23.png,remote38.png,remote48.png,remote65.png,remote71.png,remote82.png,remote19.png,blank.png,1,4,8,8,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.854,,0,30,30,92,1,cmp_building_024_person_010,S4_building_024_person_010.jpg,0,blank.png,blank.png,person1015.png,person1089.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,3.888,space,0,31,31,48,1,cmp_shelves_030_book_003,S4_shelves_030_book_003.jpg,0,blank.png,blank.png,book106.png,book150.png,book237.png,book549.png,book9.png,book417.png,book51.png,book396.png,1,4,8,8,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.963,,
,,,,,v,1,4.269,,0,32,32,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,2.55,,0,33,33,84,1,cmp_building_039_dog_007,S4_building_039_dog_007.jpg,1,dog519.png,dog519.png,dog592.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,3.423,space,0,34,34,101,1,cmp_building_051_bird_007,S8_building_051_bird_007.jpg,1,bird596.png,bird596.png,bird663.png,bird540.png,bird661.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.898,,
,,,,,v,0,2.504,,0,35,35,0,1,cmp_shelves_044_toys_003,S1_shelves_044_toys_003.jpg,1,motorcycle341.png,motorcycle341.png,truck96.png,truck83.png,airplane19.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.226,,0,36,36,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
