random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_end.keys,key_resp_end.rt
4213,y,49.916305,w,10.45722,,0,,0,0,0,82,1,cmp_building_049_bird_005,S4_building_049_bird_005.jpg,1,bird1082.png,bird1082.png,bird1040.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,,0,,0,1,1,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,,0,,0,2,2,89,1,cmp_building_015_person_008,S4_building_015_person_008.jpg,0,blank.png,blank.png,person100.png,person108.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,,0,,0,3,3,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,,0,,0,4,4,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,m,0,,0,5,5,42,1,cmp_building_045_dog_013,S4_building_045_dog_013.jpg,0,blank.png,blank.png,dog1760.png,dog1810.png,dog1887.png,dog1907.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,3.934355,,
,,,,,,0,,0,6,6,88,1,cmp_building_014_person_007,S4_building_014_person_007.jpg,0,blank.png,blank.png,person120.png,person198.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,m,1,,0,7,7,86,1,cmp_shelves_051_toys_010,S4_shelves_051_toys_010.jpg,1,truck262.png,truck262.png,truck167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,1.3603,,
,,,,,,0,,0,8,8,103,1,cmp_shelves_014_bottle_003,S8_shelves_014_bottle_003.jpg,1,bottle244.png,bottle244.png,bottle465.png,bottle409.png,bottle197.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
,,,,,,0,,0,9,9,84,1,cmp_building_039_dog_007,S4_building_039_dog_007.jpg,1,dog519.png,dog519.png,dog592.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,55,2020-08-25_17h42.03.412,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,,
