random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
7323,y,4.07435,w,4.400335,m,1,1.85201,,0,0,0,99,1,cmp_mountain_025_cow_005,S8_mountain_025_cow_005.jpg,1,cow396.png,cow396.png,cow241.png,cow340.png,cow343.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,3.05401,,0,1,1,45,1,cmp_africansavanna_001_wildanimals_001,S4_africansavanna_001_wildanimals_001.jpg,1,bear384.png,bear384.png,elephant316.png,giraffe5.png,zebra221.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.95271,,0,2,2,34,1,cmp_building_001_dog_001,S4_building_001_dog_001.jpg,1,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_006.png,stm_builging_001_dog_001_012.png,stm_builging_001_dog_001_015.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.644125,,0,3,3,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,3.35645,,0,4,4,42,1,cmp_building_045_dog_013,S4_building_045_dog_013.jpg,0,blank.png,blank.png,dog1760.png,dog1810.png,dog1887.png,dog1907.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.789345,,0,5,5,106,1,cmp_mountain_018_sheep_006,S8_mountain_018_sheep_006.jpg,0,blank.png,blank.png,sheep1610.png,sheep1647.png,sheep1786.png,sheep1673.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,3.165005,,0,6,6,92,1,cmp_building_024_person_010,S4_building_024_person_010.jpg,0,blank.png,blank.png,person1015.png,person1089.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.678355,,0,7,7,4,1,cmp_building_050_bird_006,S1_building_050_bird_006.jpg,1,bird709.png,bird709.png,bird680.png,bird1112.png,bird455.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.933695,,0,8,8,35,1,cmp_building_021_cat_008,S4_building_021_cat_008.jpg,1,cat1953.png,cat1953.png,cat1966.png,cat1835.png,cat1921.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.99768,,0,9,9,91,1,cmp_building_017_cat_004,S4_building_017_cat_004.jpg,0,blank.png,blank.png,cat800.png,cat830.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,2.567155,,0,10,10,52,1,cmp_building_022_cat_009,S4_building_022_cat_009.jpg,0,blank.png,blank.png,cat1624.png,cat1707.png,cat1761.png,cat1792.png,cat1636.png,cat1650.png,cat1793.png,cat1757.png,0,4,8,8,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.6903,,0,11,11,85,1,cmp_building_030_person_016,S4_building_030_person_016.jpg,1,person1923.png,person1923.png,person1925.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.894865,,0,12,12,80,1,cmp_shelves_029_book_002,S4_shelves_029_book_002.jpg,1,book874.png,book874.png,book1249.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,3.672125,,0,13,13,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.833445,,0,14,14,64,1,cmp_stadium_001_person_001,S4_stadium_001_person_001.jpg,1,stadium_001_person_010.png,stadium_001_person_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.48441,,0,15,15,37,1,cmp_shelves_037_book_010,S4_shelves_037_book_010.jpg,0,blank.png,blank.png,book817.png,book1001.png,book344.png,book319.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.47069,,0,16,16,17,1,cmp_jungle_003_bird_003,S2_jungle_003_bird_003.jpg,1,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_009.png,stm_jugle_003_birds_003_011.png,stm_jugle_003_birds_003_013.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.84794,,0,17,17,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.61845,,0,18,18,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,2.615245,,0,19,19,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,3.553225,,0,20,20,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,20,2021-02-15_14h23.44.377,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
