random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate
10,y,1.799505,v,1,4.51151,,0,0,0,15,1,cmp_mountain_019_sheep_007,S1_mountain_019_sheep_007.jpg,0,blank.png,blank.png,sheep46.png,sheep53.png,sheep128.png,sheep20.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,3.12904,,0,1,1,57,1,cmp_shelves_018_remote_002,S4_shelves_018_remote_002.jpg,1,remote63.png,remote63.png,remote23.png,remote38.png,remote48.png,remote65.png,remote71.png,remote82.png,remote19.png,blank.png,1,4,8,8,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,2.56828,,0,2,2,41,1,cmp_africansavanna_003_wildanimals_003,S4_africansavanna_003_wildanimals_003.jpg,0,blank.png,blank.png,elephant449.png,giraffe169.png,zebra311.png,giraffe738.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,1,0.89061,,0,3,3,4,1,cmp_building_050_bird_006,S1_building_050_bird_006.jpg,1,bird709.png,bird709.png,bird680.png,bird1112.png,bird455.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,0,3.858875,,0,4,4,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.13653,,0,5,5,43,1,cmp_mountain_020_sheep_008,S4_mountain_020_sheep_008.jpg,0,blank.png,blank.png,sheep474.png,sheep356.png,sheep455.png,sheep483.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.870195,,0,6,6,42,1,cmp_building_045_dog_013,S4_building_045_dog_013.jpg,0,blank.png,blank.png,dog1760.png,dog1810.png,dog1887.png,dog1907.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,v,1,1.68478,,0,7,7,28,1,cmp_field_002_farmanimals_002,S2_field_002_farmanimals_002.jpg,0,blank.png,blank.png,cow120.png,cow65.png,horse126.png,cow325.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,,0,,,0,8,8,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
,,,m,0,1.154345,,0,9,9,52,1,cmp_building_022_cat_009,S4_building_022_cat_009.jpg,0,blank.png,blank.png,cat1624.png,cat1707.png,cat1761.png,cat1792.png,cat1636.png,cat1650.png,cat1793.png,cat1757.png,0,4,8,8,7,v,777240,001,21,male,MI,2020-04-03_22h34.16.911,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60
