random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
2562,y,17.02622,,0,,0,0,0,32,1,cmp_shelves_032_book_005,S4_shelves_032_book_005.jpg,1,book466.png,book466.png,book22.png,book23.png,book513.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,
,,,m,1,,0,1,1,100,1,cmp_shelves_016_cup_001,S8_shelves_016_cup_001.jpg,1,cup406.png,cup406.png,cup356.png,cup636.png,cup677.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.207855
,,,v,1,,0,2,2,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.046185
,,,m,0,,0,3,3,108,1,cmp_africansavanna_002_wildanimals_002,S8_africansavanna_002_wildanimals_002.jpg,0,blank.png,blank.png,elephant231.png,elephant458.png,giraffe141.png,giraffe352.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.577845
,,,v,1,,0,4,4,39,1,cmp_mountain_017_sheep_005,S4_mountain_017_sheep_005.jpg,0,blank.png,blank.png,sheep1498.png,sheep1552.png,sheep1422.png,sheep1597.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.152045
,,,m,0,,0,5,5,49,1,cmp_mountain_021_sheep_009,S4_mountain_021_sheep_009.jpg,0,blank.png,blank.png,sheep760.png,sheep655.png,sheep710.png,sheep654.png,sheep618.png,sheep761.png,sheep719.png,sheep739.png,1,4,8,8,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.583715
,,,v,0,,0,6,6,87,1,cmp_mountain_026_horse_001,S4_mountain_026_horse_001.jpg,1,horse815.png,horse815.png,horse1010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.80617
,,,m,0,,0,7,7,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.82918
,,,v,1,,0,8,8,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.2112
,,,m,1,,0,9,9,0,1,cmp_shelves_044_toys_003,S1_shelves_044_toys_003.jpg,1,motorcycle341.png,motorcycle341.png,truck96.png,truck83.png,airplane19.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.39935
